Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,pred_numchases,pred_timechases,,,,,
10/1/17,RH3,2,2,6,8N_2,5,5500,23,25460,6,4233,0,0,,,,,
10/3/17,RH3,1,3,6,8N_2,1,905,4,2720,9,24859,3,8544,,,,,
8/16/17,RH3 81617,3,1,5,8O,1,486,31,54545,1,2499,6,8849,,,,,
8/18/17,RH3,2,2,5,8O,30,63771,13,19430,21,48429,26,61633,,,,,
8/20/17,RH3,1,3,5,8O,51,99414,51,98223,38,60598,41,69614,,,,,
9/29/17,RH6,2,1,11,8O_2,33,69255,32,54273,6,5434,14,18177,,,,,
10/1/17,RH6,2,2,11,8O_2,25,64186,79,87571,34,50342,36,30845,,,,,
10/3/17,RH6,2,3,11,8O_2,21,28823,111,124304,44,66265,26,88109,,,,,
8/16/17,RH3 81617,3,1,6,8P,11,7431,10,11953,0,0,1,359,,,,,
9/29/17,RH6,2,1,12,8P_2,0,0,0,0,1,1130,1,964,,,,,
10/1/17,RH6,2,2,12,8P_2,8,13826,8,6367,0,0,7,15559,,,,,
10/3/17,RH6,2,3,12,8P_2,0,0,0,0,0,0,0,0,,,,,
